Part Name,Quantity,Link,Link 2,Unit Price (cheaper of the two links),Total
1500mah Battery,1,https://www.aliexpress.com/item/32994867305.html,,$20.00,$20.00
"Motors, Propeller, ESC KIT",1,https://www.amazon.ca/1000KV-Brushless-Motor-A2212-Plane/dp/B0DND3ZCKM,,$30.00,$30.00
Radiomaster Pocket,1,https://www.aliexpress.com/item/1005008044388817.html,,$50.00,$50.00
Aero PLA,2,https://ca.store.bambulab.com/products/pla-aero,,$60.00,$60.00
ELRS Receiver,1,https://www.aliexpress.com/item/1005009645506956.html,,$10.00,$10.00
Flight Controller,1,https://www.aliexpress.com/item/1005010593839608.html,,$30.00,$30.00
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,$200.00
